0000195355-0004-8,PANDA EXPRESS INC,PANDA EXPRESS 119,3650 W MARTIN LUTHER KING JR BLVD #137,LOS ANGELES,3650 MARTIN LUTHER KING JR 90008-1748,1683 WALNUT GROVE AVENUE,ROSEMEAD,91770-3711,722110,Full-service restaurants,8,01/01/1995,,"(34.0114, -118.3363)"
0000390119-0001-5,ZENAIDA VASQUEZ/MELINDA SERRANO/DORA RUIZ,EMILIAS,1720 NEWPORT AVENUE UNIT #3,LONG BEACH,1720 NEWPORT 90804-1920,,,,722110,Full-service restaurants,0,05/01/2004,,"(33.7889, -118.1513)"
0002705717-0001-5,CHOI'S WOK EXPRESS,,18515 ROSCOE BLVD,NORTHRIDGE,18515 ROSCOE 91324-4632,,,,722110,Full-service restaurants,12,09/15/2013,,"(34.2207, -118.5367)"
0002603954-0001-2,CHAN NGOR,CHINATOWN EXPRESS #28,519 W MANCHESTER AVENUE UNIT #106,LOS ANGELES,519 MANCHESTER 90044-5763,,,,722110,Full-service restaurants,8,03/06/2012,,"(33.9601, -118.2834)"
0000040216-0001-1,BUNG THAI,CHINATOWN EXPRESS #7,2531 S SAN PEDRO STREET #A,LOS ANGELES,2531 SAN PEDRO 90011-1519,,,,722110,Full-service restaurants,9,10/04/1992,,"(34.022, -118.261)"
0002727934-0001-2,TETSUYA HARIKAWA,HARIKAWA,10914 W PICO BLVD,LOS ANGELES,10914 PICO 90064-2112,,,,722110,Full-service restaurants,5,02/05/2014,,"(34.0394, -118.4299)"
0000199338-0001-9,ROMEO ENTERPRISES INC,,7300 TOPANGA CANYON BLVD #8,CANOGA PARK,7300 TOPANGA CANYON 91303-3333,,,,722110,Full-service restaurants,3,04/26/1995,,"(34.2028, -118.6059)"
0000967302-0001-1,JACK IN THE BOX INC,JACK IN THE BOX #3262,5101 W JEFFERSON BLVD,LOS ANGELES,5101 JEFFERSON 90016-3813,9330 BALBOA AVENUE,SAN DIEGO,92123-1516,722110,Full-service restaurants,10,07/15/1999,,"(34.0255, -118.3549)"
0002739645-0001-7,CHEF JET FOOD SERVICE LLC,,2263 BANCROFT AVENUE,LOS ANGELES,2263 BANCROFT 90039-3623,,,,722110,Full-service restaurants,13,04/29/2013,,"(34.0966, -118.2561)"
0002432270-0001-5,GYU DON INC,YOSHINOYA,6050 LANKERSHIM BLVD,NORTH HOLLYWOOD,6050 LANKERSHIM 91606-4806,,,,722110,Full-service restaurants,2,03/01/2008,,"(34.1802, -118.3839)"
0002334167-0001-4,LA CASITA DE DON CARLOS INC,RESTAURANTE ILOPANGO LAKE,1744 VENICE BLVD,LOS ANGELES,1744 VENICE 90006-4527,,,,722110,Full-service restaurants,1,09/21/2007,,"(34.0442, -118.293)"
0000072116-0001-7,RENILKO CORPORATION,NANAY GLORIA'S FAST FOOD & RESTAURANT,3756 W AVENUE 40,LOS ANGELES,3756 AVENUE 40 90065-3665,,,,722110,Full-service restaurants,1,05/01/2000,,"(34.1194, -118.228)"
0000780120-0001-3,COSTA DEL SOL RESTAURANT INC,COSTA DEL SOL,11203 GLENOAKS BLVD #7,PACOIMA,11203 GLENOAKS 91331-7303,,,,722110,Full-service restaurants,7,10/01/1990,,"(34.2737, -118.4117)"
0002593397-0002-1,IVAN MOISES ARCILA,LAS GORDITAS LOCAS,274 E SLAUSON AVENUE,LOS ANGELES,274 SLAUSON 90011-5336,2225 S CENTRAL AVENUE,LOS ANGELES,90011-1238,722110,Full-service restaurants,9,01/04/2012,,"(33.9892, -118.2699)"
0002757600-0004-2,HOST HAVANA LAX F&B LLC,LA PROVENCE,400 WORLD WAY SPACE #U2,LOS ANGELES,400 WORLD 90045-5888,6905 ROCKLEDGE DRIVE,BETHESDA,20817-1828,722110,Full-service restaurants,11,12/04/2013,,"(33.9429, -118.4079)"
0002670444-0002-9,SAMUEL LEE,101 KOREAN B.B.Q. & SUSHI,11009 BURBANK BLVD UNIT #108,NORTH HOLLYWOOD,11009 BURBANK 91601-5732,,,,722110,Full-service restaurants,2,05/22/2014,,"(34.1721, -118.3707)"
0002746456-0001-3,ALVARADO ZARATE LLC,TABACHINES COCINA,517 S SPRING STREET,LOS ANGELES,517 SPRING 90013-2303,POST OFFICE BOX #8296,FRESNO,93747-8296,722110,Full-service restaurants,14,04/15/2014,,"(34.0472, -118.2498)"
0000300903-0001-2,BEHROKH TABIBIAN,BEN ENTERPRISE/SUBWAY,6700 LAUREL CANYON BLVD,N HOLLYWOOD,6700 LAUREL CANYON 91606-1547,,,,722110,Full-service restaurants,2,12/12/1985,,"(34.1921, -118.3965)"
0002255176-0001-8,PRINYA SILPACHAI,BARN RAU,10825 OXNARD STREET,NORTH HOLLYWOOD,10825 OXNARD 91606-5020,,,,722110,Full-service restaurants,2,06/21/2007,,"(34.1794, -118.3664)"
0002627965-0001-2,GREYLIGHT LLC,CINCO,7241 W MANCHESTER AVENUE,LOS ANGELES,7241 MANCHESTER 90045-3510,,,,722110,Full-service restaurants,11,09/29/2012,,"(33.9598, -118.4203)"
0000935281-0001-3,MARIA M GONZALEZ,PUERTO LA UNION RESTAURANT,3811 W PICO BLVD,LOS ANGELES,3811 PICO 90019-4305,,,,722110,Full-service restaurants,10,11/09/1998,,"(34.0474, -118.3225)"
0002531633-0001-5,YURA INTERNATIONAL INC,KI KU SUSHI,246 N LARCHMONT BLVD,LOS ANGELES,246 LARCHMONT 90004-3707,,,,722110,Full-service restaurants,4,12/01/2010,,"(34.0753, -118.3236)"
0000679399-0001-0,CCM CREATIONS INC,PURE ENERGY CAFE,2250 PARK PLACE,EL SEGUNDO,2250 PARK 90245-4908,2250 PARK PLACE,EL SEGUNDO,90245-4908,722110,Full-service restaurants,0,05/15/2002,,"(33.9043, -118.3835)"
0000732788-0001-3,KHUNAKORN CORPORATION,SIAM CHAN RESTAURANT,1611 COLBY AVENUE,LOS ANGELES,1611 COLBY 90025-3013,,,,722110,Full-service restaurants,11,12/17/2002,,"(34.0449, -118.4527)"
0000124810-0001-5,WOK INN INC,,201 N LOS ANGELES STREET #102,LOS ANGELES,201 LOS ANGELES 90012-3316,,,,722110,Full-service restaurants,14,01/01/1984,,"(34.0534, -118.2408)"
